,Made Donation in March 2007
659,0.438697084
276,0.03688999
263,0.149199098
303,0.231589783
83,0.539046408
500,0.772081745
530,0.181604515
244,0.102810168
249,0.002086273
728,0.025861685
129,0.137282235
534,0.063789176
317,0.149197462
401,0.149199098
696,0.27547682
192,0.132150984
176,0.196340757
571,0.359839285
139,0.008397573
423,0.275233622
563,0.428479901
56,0.331819992
528,0.410406672
101,0.149199098
467,0.22305112
382,0.146278433
466,0.23183793
294,0.102810168
512,0.253303188
659,0.438697084
389,0.166271318
487,0.003956116
701,0.156951152
419,0.187460046
536,0.174379894
240,0.199266923
508,0.183073375
515,0.102810168
283,0.364968206
650,0.149199098
65,0.199303451
228,0.074355118
741,0.013030941
297,0.33382794
464,0.078015665
63,0.156951152
231,0.300764002
28,0.067443866
248,0.102810168
357,0.11111007
300,0.457523804
726,0.468220167
680,0.117182519
520,0.297970674
254,0.014107336
582,0.103630895
143,0.129114716
98,0.352817665
1,0.268885412
221,0.423385902
352,0.149199098
64,0.081272687
138,0.108929116
745,0.258776066
64,0.081272687
688,0.059950222
623,0.051709761
289,0.044916118
174,0.253199888
690,0.149199098
105,0.130243189
427,0.089236106
48,0.003035651
14,0.149199098
657,0.010729188
301,0.05925819
455,0.086918261
579,0.15357083
722,0.062062826
98,0.352817665
491,0.003035651
303,0.231589783
466,0.23183793
65,0.199303451
300,0.457523804
9,0.038253257
622,0.132150984
323,0.062201005
289,0.044916118
568,0.287455564
290,0.149199098
156,0.12874628
464,0.078015665
426,0.073669864
306,0.115383368
4,0.204830707
12,0.327542391
187,0.136080952
406,0.011541068
96,0.181604515
509,0.156951152
733,0.065043446
548,0.0243808
478,0.215584509
501,0.163345325
127,0.320039747
199,0.054540169
299,0.401049192
162,0.149199098
235,0.084390031
23,0.188109899
473,0.149199098
487,0.003956116
683,0.461878289
303,0.231589783
309,0.010952358
569,0.028557903
34,0.41653521
686,0.632812025
84,0.212379694
733,0.065043446
537,0.515476753
181,0.119648914
453,0.735343712
67,0.373119609
161,0.301534603
307,0.243837078
703,0.152537497
181,0.119648914
246,0.102522556
316,0.327273991
278,0.132150984
346,0.185825837
545,0.149199098
419,0.187460046
694,0.181604515
622,0.132150984
663,0.022299908
262,0.66258308
461,0.113837791
373,0.854291044
233,0.149199098
466,0.23183793
207,0.129114716
263,0.149199098
16,0.028557903
513,0.018112248
449,0.305315635
429,0.006351196
701,0.156951152
632,0.016939847
529,0.55418649
245,0.2183185
344,0.061924934
353,0.084613987
241,0.150584393
633,0.078081137
624,0.156951152
726,0.468220167
189,0.132150984
138,0.108929116
402,0.102810168
511,0.376960414
590,0.424441694
334,0.186597101
447,0.028774961
119,0.23183793
389,0.166271318
644,0.149199098
423,0.275233622
131,0.028557903
405,0.002222427
82,0.149199098
643,0.869636595
156,0.12874628
617,0.021731151
574,0.265488385
272,0.126268324
613,0.048580527
545,0.149199098
685,0.102810168
570,0.139397556
537,0.515476753
691,0.078081137
85,0.329196487
483,0.102522556
455,0.086918261
93,0.132150984
744,0.156951152
33,0.102522556
321,0.670984677
523,0.223897149
426,0.073669864
196,0.073965439
301,0.05925819
103,0.078081137
224,0.033468113
454,0.023119966
585,0.02187377
154,0.239156106
