,Made Donation in March 2007
659,0.961909533
276,0.064912386
263,0.098012969
303,0.003895065
83,0.068142831
500,0.824060321
530,0.331228197
244,0.008143979
249,0.004856537
728,3.38E-05
129,0.972601116
534,0.001179717
317,0.178567216
401,0.098012969
696,0.946199477
192,0.210059524
176,0.00011809
571,0.060120441
139,0.000503245
423,0.2042142
563,0.98703301
56,0.575853825
528,0.618073642
101,0.098012969
467,0.004549915
382,0.07265605
466,0.37206623
294,0.008143979
512,0.095556267
659,0.961909533
389,0.078303553
487,0.021982964
701,0.177986249
419,0.018606968
536,0.126377821
240,0.000159747
508,0.045973871
515,0.008143979
283,0.019333249
650,0.098012969
65,0.496766269
228,0.84748739
741,0.031600013
297,0.063350469
464,0.015662877
63,0.177986249
231,0.09337876
28,0.098125309
248,0.008143979
357,0.017799411
300,0.481595904
726,0.998916388
680,0.016215622
520,0.868361473
254,0.00036458
582,0.383204341
143,0.002935098
98,0.975544751
1,0.037009925
221,0.042858757
352,0.098012969
64,0.028780261
138,0.15764229
745,0.170206621
64,0.028780261
688,0.00076841
623,0.000488121
289,0.004995816
174,0.189745903
690,0.098012969
105,0.181622028
427,0.002980911
48,0.002341901
14,0.098012969
657,0.000753552
301,0.001179717
455,0.148339868
579,0.067936271
722,0.029549995
98,0.975544751
491,0.002341901
303,0.003895065
466,0.37206623
65,0.496766269
300,0.481595904
9,0.070148192
622,0.210059524
323,0.003312895
289,0.004995816
568,0.056537528
290,0.098012969
156,0.098002538
464,0.015662877
426,0.010830003
306,0.0034668
4,0.011563244
12,0.056568146
187,0.009091049
406,0.01040231
96,0.331228197
509,0.177986249
733,0.000119307
548,0.01509802
478,0.556726158
501,0.050600875
127,0.727848947
199,0.035552334
299,0.995887935
162,0.098012969
235,0.022343641
23,0.002055735
473,0.098012969
487,0.021982964
683,0.969764888
303,0.003895065
309,0.003197299
569,0.071691066
34,0.644598663
686,0.989251018
84,0.000793681
733,0.000119307
537,0.558645964
181,0.073414415
453,0.044306181
67,0.740936697
161,0.140705898
307,0.001813534
703,0.039868493
181,0.073414415
246,0.136626855
316,0.232314989
278,0.210059524
346,0.883105934
545,0.098012969
419,0.018606968
694,0.331228197
622,0.210059524
663,0.000728442
262,0.979137659
461,0.029097471
373,0.553006768
233,0.098012969
466,0.37206623
207,0.002935098
263,0.098012969
16,0.071691066
513,0.004186351
449,0.679575622
429,0.000156037
701,0.177986249
632,0.001315186
529,0.12978822
245,0.001547332
344,0.920205116
353,0.348184437
241,0.095115528
633,0.001229403
624,0.177986249
726,0.998916388
189,0.210059524
138,0.15764229
402,0.008143979
511,0.006330836
590,0.027902819
334,0.748922706
447,0.019134367
119,0.37206623
389,0.078303553
644,0.098012969
423,0.2042142
131,0.071691066
405,0.02133842
82,0.098012969
643,0.515354753
156,0.098002538
617,0.001406848
574,0.623713911
272,0.017526766
613,0.003050953
545,0.098012969
685,0.008143979
570,0.006561787
537,0.558645964
691,0.001229403
85,0.477162808
483,0.136626855
455,0.148339868
93,0.210059524
744,0.177986249
33,0.136626855
321,0.791311204
523,0.776988029
426,0.010830003
196,0.037148356
301,0.001179717
103,0.001229403
224,0.025364798
454,0.016058287
585,0.004195082
154,0.000791687
