,Made Donation in March 2007
659,0.447934521
276,0.081685037
263,0.294606308
303,0.27769303
83,0.480527968
500,0.725202169
530,0.320523764
244,0.115965279
249,0.016104715
728,0.070914267
129,0.151061151
534,0.132597244
317,0.260975093
401,0.294606308
696,0.287645652
192,0.156595754
176,0.206351514
571,0.405802741
139,0.059512245
423,0.296592097
563,0.401155034
56,0.304371883
528,0.345411891
101,0.294606308
467,0.259057013
382,0.294184624
466,0.335599324
294,0.115965279
512,0.300011841
659,0.447934521
389,0.314864829
487,0.028698522
701,0.344907928
419,0.245653269
536,0.19428887
240,0.217598617
508,0.22670126
515,0.115965279
283,0.331897266
650,0.294606308
65,0.364469095
228,0.119345133
741,0.055573098
297,0.356692465
464,0.109485397
63,0.344907928
231,0.334206574
28,0.102610447
248,0.115965279
357,0.142082363
300,0.485954586
726,0.615219367
680,0.1383367
520,0.289234057
254,0.03828102
582,0.171493143
143,0.219058983
98,0.374475679
1,0.294273386
221,0.48465617
352,0.294606308
64,0.113882051
138,0.237745908
745,0.372262884
64,0.113882051
688,0.087818762
623,0.108854297
289,0.142407104
174,0.299388818
690,0.294606308
105,0.163552551
427,0.116652328
48,0.00807704
14,0.294606308
657,0.037900106
301,0.128480835
455,0.114903724
579,0.269405737
722,0.099224074
98,0.374475679
491,0.00807704
303,0.27769303
466,0.335599324
65,0.364469095
300,0.485954586
9,0.055103193
622,0.156595754
323,0.089282436
289,0.142407104
568,0.329267647
290,0.294606308
156,0.164947182
464,0.109485397
426,0.105168362
306,0.185341021
4,0.263379688
12,0.325043481
187,0.232028301
406,0.049042176
96,0.320523764
509,0.344907928
733,0.127039145
548,0.054564387
478,0.224203593
501,0.160743579
127,0.391868028
199,0.177141133
299,0.401765617
162,0.294606308
235,0.108128644
23,0.188871593
473,0.294606308
487,0.028698522
683,0.387907659
303,0.27769303
309,0.036146029
569,0.04421428
34,0.359423739
686,0.583347799
84,0.28892857
733,0.127039145
537,0.426023358
181,0.149867052
453,0.778264263
67,0.388761725
161,0.438328701
307,0.263849559
703,0.173355779
181,0.149867052
246,0.12904207
316,0.334606727
278,0.156595754
346,0.180521237
545,0.294606308
419,0.245653269
694,0.320523764
622,0.156595754
663,0.067920175
262,0.568428086
461,0.260522923
373,0.88247714
233,0.294606308
466,0.335599324
207,0.219058983
263,0.294606308
16,0.04421428
513,0.045320714
449,0.286581697
429,0.028270197
701,0.344907928
632,0.04382118
529,0.492449159
245,0.248102681
344,0.110138839
353,0.111676544
241,0.292515785
633,0.094249071
624,0.344907928
726,0.615219367
189,0.156595754
138,0.237745908
402,0.115965279
511,0.352301266
590,0.353176219
334,0.213362914
447,0.066861543
119,0.335599324
389,0.314864829
644,0.294606308
423,0.296592097
131,0.04421428
405,0.006417823
82,0.294606308
643,0.923261348
156,0.164947182
617,0.051824782
574,0.371696394
272,0.271140086
613,0.090661572
545,0.294606308
685,0.115965279
570,0.168575279
537,0.426023358
691,0.094249071
85,0.439349096
483,0.12904207
455,0.114903724
93,0.156595754
744,0.344907928
33,0.12904207
321,0.695524171
523,0.227243244
426,0.105168362
196,0.101425266
301,0.128480835
103,0.094249071
224,0.059726851
454,0.066710684
585,0.045546154
154,0.32218625
