,Made Donation in March 2007
659,0.460035991
276,0.046063177
263,0.285694001
303,0.2694049
83,0.481113344
500,0.835432674
530,0.294240082
244,0.101580464
249,0.009474404
728,0.072230015
129,0.126764048
534,0.143247008
317,0.316674612
401,0.285694001
696,0.279197137
192,0.155563122
176,0.182789045
571,0.47445877
139,0.035065487
423,0.285471013
563,0.35429561
56,0.294908726
528,0.320266257
101,0.285694001
467,0.264596862
382,0.404284252
466,0.305345559
294,0.101580464
512,0.284543256
659,0.460035991
389,0.419885486
487,0.015979406
701,0.312035146
419,0.264883174
536,0.231596653
240,0.193686501
508,0.249615479
515,0.101580464
283,0.309608081
650,0.285694001
65,0.318021361
228,0.08639065
741,0.048737392
297,0.318492259
464,0.095928389
63,0.312035146
231,0.301850086
28,0.092257278
248,0.101580464
357,0.113655196
300,0.535271958
726,0.7985663
680,0.110714732
520,0.286448331
254,0.02107197
582,0.173504561
143,0.240094259
98,0.324385985
1,0.283303912
221,0.562408964
352,0.285694001
64,0.131018157
138,0.314201607
745,0.431001526
64,0.131018157
688,0.069182507
623,0.141260186
289,0.09859875
174,0.317724142
690,0.285694001
105,0.157169048
427,0.083265364
48,0.004038724
14,0.285694001
657,0.02076283
301,0.140365659
455,0.098749881
579,0.322837047
722,0.074374236
98,0.324385985
491,0.004038724
303,0.2694049
466,0.305345559
65,0.318021361
300,0.535271958
9,0.032346626
622,0.155563122
323,0.069926573
289,0.09859875
568,0.30182853
290,0.285694001
156,0.212952891
464,0.095928389
426,0.077780745
306,0.140552568
4,0.26122079
12,0.300880027
187,0.258791117
406,0.026731648
96,0.294240082
509,0.312035146
733,0.136936219
548,0.031734282
478,0.231059957
501,0.155271049
127,0.331981226
199,0.227267305
299,0.392242117
162,0.285694001
235,0.078880338
23,0.192548221
473,0.285694001
487,0.015979406
683,0.356965275
303,0.2694049
309,0.019908121
569,0.024161175
34,0.331569733
686,0.65459228
84,0.28322249
733,0.136936219
537,0.390532535
181,0.148572287
453,0.886045449
67,0.384201244
161,0.557992159
307,0.27158328
703,0.161078494
181,0.148572287
246,0.106378857
316,0.307632047
278,0.155563122
346,0.163824742
545,0.285694001
419,0.264883174
694,0.294240082
622,0.155563122
663,0.094949584
262,0.556029693
461,0.319977747
373,0.941223491
233,0.285694001
466,0.305345559
207,0.240094259
263,0.285694001
16,0.024161175
513,0.024565933
449,0.280900343
429,0.015844908
701,0.312035146
632,0.026388233
529,0.425903801
245,0.226122043
344,0.081501973
353,0.080629278
241,0.416096242
633,0.073408239
624,0.312035146
726,0.7985663
189,0.155563122
138,0.314201607
402,0.101580464
511,0.319989069
590,0.308007767
334,0.23701526
447,0.056946886
119,0.305345559
389,0.419885486
644,0.285694001
423,0.285471013
131,0.024161175
405,0.003208952
82,0.285694001
643,0.961630623
156,0.212952891
617,0.030336642
574,0.321000962
272,0.329439168
613,0.116394967
545,0.285694001
685,0.101580464
570,0.159899573
537,0.390532535
691,0.073408239
85,0.566420926
483,0.106378857
455,0.098749881
93,0.155563122
744,0.312035146
33,0.106378857
321,0.83558348
523,0.238312533
426,0.077780745
196,0.09273787
301,0.140365659
103,0.073408239
224,0.034453429
454,0.035776083
585,0.024734579
154,0.361916768
