,Made Donation in March 2007
659,0.472137461
276,0.010441316
263,0.276781693
303,0.261116771
83,0.48169872
500,0.945663179
530,0.267956399
244,0.087195648
249,0.002844092
728,0.073545763
129,0.102466946
534,0.153896772
317,0.372374131
401,0.276781693
696,0.270748621
192,0.15453049
176,0.159226576
571,0.543114799
139,0.010618729
423,0.27434993
563,0.307436187
56,0.285445569
528,0.295120623
101,0.276781693
467,0.270136711
382,0.514383881
466,0.275091793
294,0.087195648
512,0.269074671
659,0.472137461
389,0.524906142
487,0.003260289
701,0.279162363
419,0.284113079
536,0.268904437
240,0.169774385
508,0.272529697
515,0.087195648
283,0.287318896
650,0.276781693
65,0.271573626
228,0.053436166
741,0.041901687
297,0.280292052
464,0.082371381
63,0.279162363
231,0.269493598
28,0.08190411
248,0.087195648
357,0.085228028
300,0.58458933
726,0.981913232
680,0.083092765
520,0.283662606
254,0.003862919
582,0.175515978
143,0.261129536
98,0.274296292
1,0.272334439
221,0.640161757
352,0.276781693
64,0.148154263
138,0.390657307
745,0.489740168
64,0.148154263
688,0.050546251
623,0.173666075
289,0.054790397
174,0.336059467
690,0.276781693
105,0.150785546
427,0.049878399
48,4.07E-07
14,0.276781693
657,0.003625553
301,0.152250483
455,0.082596039
579,0.376268357
722,0.049524399
98,0.274296292
491,4.07E-07
303,0.261116771
466,0.275091793
65,0.271573626
300,0.58458933
9,0.009590058
622,0.15453049
323,0.050570709
289,0.054790397
568,0.274389413
290,0.276781693
156,0.260958601
464,0.082371381
426,0.050393128
306,0.095764114
4,0.259061892
12,0.276716573
187,0.285553933
406,0.00442112
96,0.267956399
509,0.279162363
733,0.146833293
548,0.008904177
478,0.237916322
501,0.149798519
127,0.272094424
199,0.277393477
299,0.382718617
162,0.276781693
235,0.049632031
23,0.19622485
473,0.276781693
487,0.003260289
683,0.326022892
303,0.261116771
309,0.003670214
569,0.004108069
34,0.303715727
686,0.725836761
84,0.27751641
733,0.146833293
537,0.355041711
181,0.147277522
453,0.993826634
67,0.379640764
161,0.677655617
307,0.279317
703,0.14880121
181,0.147277522
246,0.083715643
316,0.280657368
278,0.15453049
346,0.147128248
545,0.276781693
419,0.284113079
694,0.267956399
622,0.15453049
663,0.121978992
262,0.543631299
461,0.379432571
373,0.999969841
233,0.276781693
466,0.275091793
207,0.261129536
263,0.276781693
16,0.004108069
513,0.003811152
449,0.275218988
429,0.003419619
701,0.279162363
632,0.008955286
529,0.359358444
245,0.204141406
344,0.052865106
353,0.049582011
241,0.539676699
633,0.052567407
624,0.279162363
726,0.981913232
189,0.15453049
138,0.390657307
402,0.087195648
511,0.287676873
590,0.262839315
334,0.260667607
447,0.047032229
119,0.275091793
389,0.524906142
644,0.276781693
423,0.27434993
131,0.004108069
405,8.17E-08
82,0.276781693
643,0.999999898
156,0.260958601
617,0.008848502
574,0.270305529
272,0.38773825
613,0.142128362
545,0.276781693
685,0.087195648
570,0.151223867
537,0.355041711
691,0.052567407
85,0.693492756
483,0.083715643
455,0.082596039
93,0.15453049
744,0.279162363
33,0.083715643
321,0.975642789
523,0.249381823
426,0.050393128
196,0.084050473
301,0.152250483
103,0.052567407
224,0.009180008
454,0.004841481
585,0.003923004
154,0.401647286
