,Made Donation in March 2007
659,0.46337098
276,0.058842948
263,0.288567778
303,0.217582313
83,0.417819356
500,0.579029718
530,0.301378631
244,0.101193404
249,0.029188118
728,0.101773818
129,0.125279599
534,0.166324004
317,0.339779464
401,0.288567778
696,0.310871749
192,0.141908402
176,0.175806106
571,0.346993525
139,0.058059011
423,0.335780413
563,0.407881451
56,0.330715088
528,0.323918813
101,0.288567778
467,0.34269941
382,0.37315332
466,0.350571602
294,0.101193404
512,0.305347032
659,0.46337098
389,0.402727477
487,0.039169597
701,0.343888484
419,0.326197095
536,0.274322278
240,0.183303679
508,0.326599853
515,0.101193404
283,0.336268419
650,0.288567778
65,0.356280867
228,0.099737647
741,0.08593372
297,0.381015561
464,0.107025237
63,0.343888484
231,0.320120868
28,0.105668422
248,0.101193404
357,0.120514314
300,0.48964952
726,0.530551439
680,0.115952382
520,0.327562686
254,0.034573597
582,0.180257134
143,0.367245373
98,0.336060432
1,0.359169295
221,0.498804079
352,0.288567778
64,0.137728104
138,0.218272797
745,0.457395685
64,0.137728104
688,0.081808575
623,0.173899019
289,0.090252164
174,0.294184607
690,0.288567778
105,0.162634454
427,0.09274837
48,0.005168061
14,0.288567778
657,0.037103619
301,0.165336544
455,0.10805289
579,0.365774954
722,0.089788356
98,0.336060432
491,0.005168061
303,0.217582313
466,0.350571602
65,0.356280867
300,0.48964952
9,0.043888879
622,0.141908402
323,0.08207708
289,0.090252164
568,0.366595879
290,0.288567778
156,0.266576169
464,0.107025237
426,0.084806565
306,0.128986927
4,0.21516162
12,0.326571991
187,0.215922704
406,0.04510418
96,0.301378631
509,0.343888484
733,0.159864193
548,0.04706734
478,0.242254485
501,0.14732135
127,0.379114042
199,0.164212853
299,0.435538581
162,0.288567778
235,0.088265467
23,0.181447959
473,0.288567778
487,0.039169597
683,0.364299582
303,0.217582313
309,0.035449157
569,0.034305229
34,0.350154653
686,0.475127063
84,0.340883805
733,0.159864193
537,0.380363934
181,0.154884313
453,0.706672808
67,0.432908005
161,0.499037082
307,0.322083359
703,0.149577272
181,0.154884313
246,0.106936196
316,0.352095898
278,0.141908402
346,0.155698443
545,0.288567778
419,0.326197095
694,0.301378631
622,0.141908402
663,0.129170765
262,0.496553516
461,0.422879746
373,0.75387379
233,0.288567778
466,0.350571602
207,0.367245373
263,0.288567778
16,0.034305229
513,0.037070335
449,0.318771594
429,0.033779693
701,0.343888484
632,0.043480492
529,0.444102497
245,0.200177926
344,0.098146655
353,0.08884162
241,0.310286836
633,0.080145548
624,0.343888484
726,0.530551439
189,0.141908402
138,0.218272797
402,0.101193404
511,0.340263083
590,0.254395022
334,0.33153366
447,0.080283076
119,0.350571602
389,0.402727477
644,0.288567778
423,0.335780413
131,0.034305229
405,0.004004145
82,0.288567778
643,0.813920313
156,0.266576169
617,0.046589403
574,0.366379488
272,0.425495106
613,0.13190054
545,0.288567778
685,0.101193404
570,0.16360894
537,0.380363934
691,0.080145548
85,0.446755459
483,0.106936196
455,0.10805289
93,0.141908402
744,0.343888484
33,0.106936196
321,0.564710583
523,0.248457869
426,0.084806565
196,0.101929804
301,0.165336544
103,0.080145548
224,0.046232232
454,0.047953527
585,0.035784932
154,0.377442768
