,Made Donation in March 2007
659,0.05
276,0.05
263,0.05
303,0.05
83,0.95
500,0.95
530,0.05
244,0.05
249,0.05
728,0.05
129,0.05
534,0.05
317,0.05
401,0.05
696,0.05
192,0.05
176,0.05
571,0.05
139,0.05
423,0.05
563,0.95
56,0.05
528,0.05
101,0.05
467,0.05
382,0.05
466,0.05
294,0.05
512,0.05
659,0.05
389,0.05
487,0.05
701,0.05
419,0.05
536,0.05
240,0.05
508,0.05
515,0.05
283,0.05
650,0.05
65,0.05
228,0.05
741,0.05
297,0.05
464,0.05
63,0.05
231,0.05
28,0.05
248,0.05
357,0.05
300,0.05
726,0.95
680,0.05
520,0.95
254,0.05
582,0.05
143,0.05
98,0.95
1,0.05
221,0.05
352,0.05
64,0.05
138,0.05
745,0.05
64,0.05
688,0.05
623,0.05
289,0.05
174,0.05
690,0.05
105,0.05
427,0.05
48,0.05
14,0.05
657,0.05
301,0.05
455,0.05
579,0.05
722,0.05
98,0.95
491,0.05
303,0.05
466,0.05
65,0.05
300,0.05
9,0.05
622,0.05
323,0.05
289,0.05
568,0.05
290,0.05
156,0.05
464,0.05
426,0.05
306,0.05
4,0.05
12,0.05
187,0.05
406,0.05
96,0.05
509,0.05
733,0.05
548,0.05
478,0.05
501,0.05
127,0.05
199,0.05
299,0.05
162,0.05
235,0.05
23,0.05
473,0.05
487,0.05
683,0.95
303,0.05
309,0.05
569,0.05
34,0.05
686,0.95
84,0.05
733,0.05
537,0.95
181,0.05
453,0.95
67,0.05
161,0.05
307,0.05
703,0.05
181,0.05
246,0.05
316,0.05
278,0.05
346,0.05
545,0.05
419,0.05
694,0.05
622,0.05
663,0.05
262,0.95
461,0.05
373,0.95
233,0.05
466,0.05
207,0.05
263,0.05
16,0.05
513,0.05
449,0.05
429,0.05
701,0.05
632,0.05
529,0.95
245,0.05
344,0.05
353,0.05
241,0.05
633,0.05
624,0.05
726,0.95
189,0.05
138,0.05
402,0.05
511,0.05
590,0.05
334,0.05
447,0.05
119,0.05
389,0.05
644,0.05
423,0.05
131,0.05
405,0.05
82,0.05
643,0.05
156,0.05
617,0.05
574,0.05
272,0.05
613,0.05
545,0.05
685,0.05
570,0.05
537,0.95
691,0.05
85,0.05
483,0.05
455,0.05
93,0.05
744,0.05
33,0.05
321,0.95
523,0.05
426,0.05
196,0.05
301,0.05
103,0.05
224,0.05
454,0.05
585,0.05
154,0.05
