,Made Donation in March 2007
659,0.4
276,0.1
263,0.1
303,0.1
83,0.6
500,0.9
530,0.1
244,0.1
249,0.1
728,0.1
129,0.2
534,0.1
317,0.1
401,0.1
696,0.2
192,0.1
176,0.1
571,0.2
139,0.1
423,0.1
563,0.9
56,0.2
528,0.4
101,0.1
467,0.1
382,0.1
466,0.1
294,0.1
512,0.1
659,0.4
389,0.1
487,0.1
701,0.1
419,0.1
536,0.1
240,0.1
508,0.1
515,0.1
283,0.4
650,0.1
65,0.1
228,0.1
741,0.1
297,0.2
464,0.1
63,0.1
231,0.1
28,0.1
248,0.1
357,0.1
300,0.2
726,0.6
680,0.2
520,0.6
254,0.1
582,0.1
143,0.1
98,0.6
1,0.1
221,0.1
352,0.1
64,0.1
138,0.1
745,0.1
64,0.1
688,0.1
623,0.1
289,0.1
174,0.1
690,0.1
105,0.1
427,0.1
48,0.1
14,0.1
657,0.1
301,0.1
455,0.1
579,0.1
722,0.1
98,0.6
491,0.1
303,0.1
466,0.1
65,0.1
300,0.2
9,0.1
622,0.1
323,0.1
289,0.1
568,0.1
290,0.1
156,0.2
464,0.1
426,0.1
306,0.1
4,0.1
12,0.2
187,0.1
406,0.1
96,0.1
509,0.1
733,0.1
548,0.1
478,0.1
501,0.1
127,0.2
199,0.1
299,0.4
162,0.1
235,0.1
23,0.1
473,0.1
487,0.1
683,0.9
303,0.1
309,0.1
569,0.1
34,0.4
686,0.9
84,0.1
733,0.1
537,0.9
181,0.1
453,0.6
67,0.1
161,0.1
307,0.2
703,0.1
181,0.1
246,0.1
316,0.2
278,0.1
346,0.1
545,0.1
419,0.1
694,0.1
622,0.1
663,0.1
262,0.6
461,0.1
373,0.6
233,0.1
466,0.1
207,0.1
263,0.1
16,0.1
513,0.1
449,0.4
429,0.1
701,0.1
632,0.1
529,0.6
245,0.1
344,0.1
353,0.1
241,0.1
633,0.1
624,0.1
726,0.6
189,0.1
138,0.1
402,0.1
511,0.2
590,0.1
334,0.1
447,0.1
119,0.1
389,0.1
644,0.1
423,0.1
131,0.1
405,0.1
82,0.1
643,0.4
156,0.2
617,0.1
574,0.4
272,0.1
613,0.1
545,0.1
685,0.1
570,0.1
537,0.9
691,0.1
85,0.1
483,0.1
455,0.1
93,0.1
744,0.1
33,0.1
321,0.9
523,0.1
426,0.1
196,0.1
301,0.1
103,0.1
224,0.2
454,0.1
585,0.1
154,0.1
